,task,true,model,model_extracted,classification_metric
184,attack muslim lebanese religion left quite israeli fire hernlem away peace troops especially perhaps stop,0,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
185,attack muslim tank peace ticket away stop brad fire lebanese limbaugh hitler cover hernlem hope,-1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
186,attack tank buffalo fire ncsu away cover brad stand hernlem limbaugh hawk stop pray fight,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
187,attack tank fire buffalo brad ncsu limbaugh cover stand away hernlem hawk fight stop adobe,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
188,attack tank fire buffalo ncsu away cover stand hernlem limbaugh stop pray brad hawk fight,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
189,attack tank fire stop away hernlem pray limbaugh darren lebanese cover hawk stand brad ncsu,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
190,attack tank lebanese brad ncsu village limbaugh hernlem lebanon fight stop cover hawk civilian guerilla,-2,  Sure! Here's the classification of the given list of words:  Rather yes</s>,1,0.75
191,attack tank lebanese brad village ncsu lebanon limbaugh hernlem stop fight civilian cover hawk guerilla,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
192,attack tank peace ticket muslim brad fire stop away hitler limbaugh ncsu cover hernlem hope,2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
193,attack tank ticket hitler buffalo brad fire medium ncsu limbaugh peace away stop white black,-1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
194,attack tank ticket peace brad hitler fire ncsu stop limbaugh away cover black medium white,-1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
195,away dark full roast rich flavorful extremely rest double drinker steep world magic drank selection,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
196,away roast dark full rich flavorful pick rest extremely world double drinker magic consistently drank,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
197,baby jerky broken ready veggie pump increase fall tender barely carrot freezer previously gerber earth's,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
198,baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously gerber,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
199,baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously parent,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
200,baby pill jerky pump cost liter gerber hairball sodastream formula nursing reflux teriyaki week infant,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
201,baby pill jerky pump cost liter gerber sodastream hairball reflux teriyaki nursing whatever med fenugreek,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
202,back wonderful home next thank left fantastic issue brought thrill mouth word post mini fabulous,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
203,back wonderful home next thank left fantastic issue brought thrill word post mouth mini fabulous,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
204,back wonderful home next thank left fantastic issue thrill brought word post mini fabulous reach,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
205,back wonderful home next thank left fantastic issue thrill brought word post mouth mini reach,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
206,back wonderful new drinking home change amaze highly next issue thank left set excite share,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
207,back wonderful new drinking home change highly amaze next issue thank left set excite share,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
208,back wonderful new highly drinking home change amaze next issue thank left set excite share,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
209,back wonderful new highly drinking home change amaze next issue thank left set share excite,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
210,back wonderful new home change absolutely amaze next issue thank left wait hope difficult fantastic,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
211,back wonderful new home change amaze next absolutely issue thank left wait difficult office fantastic,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
212,back wonderful new home change amaze next issue thank left lose difficult office fantastic anywhere,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
213,back wonderful new home change drinking amaze husband next issue thank left highly life anyone,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
214,back wonderful new home change next amaze issue thank left lose difficult office fantastic anywhere,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
215,back wonderful new home change next amaze issue thank left lose hope life office fantastic,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
216,back wonderful next life mouth issue thank left sit short fantastic stand eye brought ton,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
217,back wonderful thank issue left next eye customer introduce doctor felt spring brought lose goodness,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
218,banks gordon pitt surrender font skepticism intellect soon cadre shameful chastity type blood brain teenager,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
219,bar almond granola nut oat cluster omega- chia yogurt clif flaxseed flax cereal shiitake mar,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
